player,team,position,age,games,minutes,percentage of team minutes,usage percent,turnover per pocession,free throw attempts,free throw percent,2 point shots attempts,2 point shots percentage,3 point shots attempts,3 point shots percentage,true shooting percentage,points per game,rebounds pergame,true rebound percentage,assists per game,percentage of team assists,steals per game,blocks per game,versatility index
Richard Jefferson,Uta,SF,33,82,26.8,55.5,17.1,0.115,162,0.741,353,0.484,301,0.409,0.573,10.1,2.7,5.7,1.6,9.7,0.7,0.17,5.3
John Jenkins,Atl,SG,22,13,11.9,23.7,16.1,0.201,4,1,24,0.5,18,0.222,0.457,3.1,1.7,8.2,0.8,10.6,0.08,0.08,5.4
Brandon Jennings,Det,PG,24,80,33.9,70.3,23.5,0.144,321,0.751,678,0.397,457,0.337,0.486,15.5,3.1,4.9,7.6,34.6,1.26,0.1,8.4
Jonas Jerebko,Det,PF,26,64,11.4,23.6,16.3,0.155,59,0.729,134,0.5,74,0.419,0.577,4.2,2.7,13.1,0.6,8,0.33,0.09,6.6
Amir Johnson,Tor,PF,26,77,28.6,58.6,16.5,0.154,143,0.636,546,0.593,66,0.303,0.592,10.4,6.5,13.4,1.5,8.8,0.73,1.14,6.5
Chris Johnson,Bos,SF,23,40,19.5,40.5,14.5,0.086,43,0.86,87,0.483,127,0.339,0.537,6.3,2.4,7,0.8,6.3,0.7,0.1,4.7
James Johnson,Mem,SF,26,52,18.2,37.5,20.2,0.16,90,0.844,221,0.548,87,0.253,0.552,7.4,3.2,10.4,2.1,18.4,0.83,1.1,8.1
Joe Johnson,Bro,SG,32,79,32.4,66.8,22.5,0.098,195,0.815,614,0.489,404,0.401,0.564,15.8,3.4,6.3,2.7,15.2,0.59,0.13,6.5
Orlando Johnson,Ind,SG,24,38,8.8,18.2,16.4,0.116,22,0.773,56,0.464,41,0.195,0.436,2.4,1.3,8.5,0.4,7.4,0.16,0.03,4.9
Orlando Johnson,Sac,SG,24,7,7,13.4,17.8,0.051,4,0.5,11,0.182,6,0.167,0.24,1.3,0.6,4.6,0.6,11.7,0,0.14,4.4
Wesley Johnson,Lal,SF,26,79,28.2,58.6,15.2,0.116,77,0.792,380,0.466,271,0.369,0.522,9.1,4.4,8.4,1.6,8.3,1.09,0.97,5.7
James Jones,Mia,SF,33,20,11.6,23.2,15.8,0.052,11,0.636,14,0.214,54,0.519,0.666,4.9,1.2,6.2,0.5,5.9,0.15,0.2,4.9
Perry Jones,Okc,PF,22,62,12.1,25.1,13,0.095,42,0.667,120,0.508,61,0.361,0.541,3.5,1.8,8.5,0.4,5,0.23,0.31,4.5
Solomon Jones,Orl,PF,29,11,7.5,14.2,11.4,0.096,4,0.5,17,0.353,0,0,0.373,1.3,1.5,10.9,0.2,3.5,0.18,0.18,3.9
Terrence Jones,Hou,PF,22,76,27.1,56.1,18.5,0.082,195,0.605,611,0.581,102,0.304,0.576,12.1,6.9,14.2,1.1,7,0.71,1.3,6.7
DeAndre Jordan,Lac,C,25,82,34.8,72.3,12.4,0.153,374,0.428,515,0.676,0,0,0.63,10.4,13.6,21.7,0.9,3.8,0.98,2.48,5.8
Cory Joseph,San,SG,22,68,13.6,28.1,17.2,0.123,96,0.823,227,0.502,38,0.316,0.558,5,1.6,6.5,1.7,17.5,0.51,0.21,7
Chris Kaman,Lal,C,31,39,18.7,38.9,26.9,0.164,68,0.765,343,0.513,3,0,0.537,10.4,5.9,16.8,1.5,14.3,0.28,1.03,9.7
Enes Kanter,Uta,C,21,80,26.5,55,23.4,0.133,204,0.73,852,0.492,1,0,0.523,12.3,7.5,16.2,0.9,6.4,0.35,0.53,6.6
Sergey Karasev,Cle,SF,20,22,6.9,13.7,14.8,0.218,10,0.9,16,0.5,19,0.211,0.47,1.7,0.7,5.9,0.3,5.8,0.14,0.05,4.1
Ryan Kelly,Lal,PF,22,59,22,45.8,16,0.098,135,0.815,229,0.476,142,0.338,0.548,8,3.7,9,1.6,10.8,0.54,0.76,6.6
Michael Kidd-Gilchrist,Cha,SF,20,62,24,49.3,15.3,0.121,184,0.614,344,0.483,9,0.111,0.516,7.2,5.2,12.3,0.8,5.5,0.69,0.63,5.2
Andrei Kirilenko,Bro,PF,32,45,18.9,38.6,14.8,0.203,119,0.513,155,0.523,5,0.2,0.532,5,3.2,10.3,1.6,13.2,0.89,0.4,6.2
Brandon Knight,Mil,PG,22,72,33.1,68.2,27,0.132,323,0.802,754,0.466,338,0.325,0.523,17.9,3.5,6.1,4.9,26.9,0.96,0.24,8.2
Kyle Korver,Atl,SG,32,71,33.7,69.6,14.3,0.136,94,0.926,217,0.479,392,0.472,0.653,12,4,6.8,2.9,13.4,0.97,0.34,6.2
Kosta Koufos,Mem,C,24,80,16.7,34.5,19.7,0.12,93,0.645,459,0.495,0,0,0.514,6.4,5.2,18.6,0.5,4.7,0.4,0.89,6.1
Doron Lamb,Orl,SG,22,53,12.9,26.3,13.5,0.133,36,0.806,70,0.386,90,0.4,0.543,3.6,0.9,4.1,0.8,9.5,0.21,0.02,4.3
Jeremy Lamb,Okc,SG,21,78,19.5,40.4,20.3,0.086,64,0.797,362,0.483,247,0.356,0.522,8.5,2.4,7,1.5,11.9,0.72,0.33,6.4
Carl Landry,Sac,PF,30,18,12.7,25.7,14.7,0.118,17,0.824,60,0.517,0,0,0.563,4.2,3.2,14,0.3,3.5,0.17,0.06,5
Shane Larkin,Dal,PG,21,48,10,20.5,17.7,0.209,25,0.64,99,0.404,38,0.316,0.446,2.8,0.9,5.1,1.5,20.9,0.54,0.02,6.2
Ty Lawson,Den,PG,26,62,35.7,74,22.8,0.17,406,0.798,603,0.456,202,0.356,0.554,17.6,3.5,5.3,8.8,38.4,1.61,0.16,9.1
Courtney Lee,Bos,SG,28,30,16.6,34.4,19.4,0.115,22,0.818,131,0.511,52,0.442,0.573,7.4,1.6,5.5,1.1,11.1,0.67,0.3,5.7
Courtney Lee,Mem,SG,28,49,29.8,61.4,16.4,0.093,90,0.9,289,0.54,142,0.345,0.574,11,2.8,5.6,1.7,8.8,0.92,0.39,5
David Lee,Gol,PF,30,69,33,68,24.4,0.121,296,0.78,979,0.524,1,0,0.566,18.2,9.3,15.5,2.1,10.9,0.7,0.38,8.6
Alex Len,Pho,C,20,42,8.5,17.5,14.6,0.221,31,0.645,78,0.423,0,0,0.469,2,2.4,15.7,0.1,1.6,0.1,0.43,3.7
Kawhi Leonard,San,SF,22,66,28.9,60,18.5,0.103,126,0.802,463,0.579,182,0.379,0.602,12.8,6.2,12.1,2,10.5,1.73,0.74,7.5
Meyers Leonard,Por,C,21,40,8.7,17.8,14.4,0.13,21,0.762,85,0.482,6,0,0.489,2.5,2.8,17.2,0.5,7.5,0.18,0.13,7
Jon Leuer,Mem,PF,24,49,12.9,26.6,21.5,0.092,47,0.787,197,0.497,49,0.469,0.566,6.2,3.2,14.8,0.4,5.3,0.37,0.27,6.2
Rashard Lewis,Mia,SF,34,60,16,32.8,14.2,0.123,33,0.788,102,0.51,134,0.343,0.535,4.5,1.8,7.2,1,8.6,0.88,0.15,5
