"Temp","V:0","V:1","V:2","Pres","AsH3","GaMe3","CH4","H2","GlobalNodeId","PedigreeNodeId","Points:0","Points:1","Points:2"
293.15,0,0,0,0.022834,0.18346,0.0062832,0.00097175,0.80929,1818,1818,-4.9796,-2.875,0
408.48,1.4388,-3.2715,-16.331,0.020033,0.15261,0.0048615,0.0009281,0.8416,7011,7011,-4.6436,-2.681,-0.28798
293.15,0,0,0,0.020116,0.18188,0.0060267,0.0010249,0.81106,6988,6988,-4.9796,-2.875,-0.28798
403.6,1.6783,-2.7974,-15.338,0.022528,0.15521,0.005135,0.0008838,0.83877,3185,3185,-4.1075,-3.4466,0
293.15,0,0,0,0.022834,0.18346,0.0062832,0.00097175,0.80929,1817,1817,-4.4048,-3.696,0
408.48,1.9857,-2.9728,-16.331,0.020033,0.15261,0.0048615,0.00092809,0.8416,7012,7012,-4.1075,-3.4466,-0.28798
293.15,0,0,0,0.020116,0.18188,0.0060266,0.0010249,0.81106,6990,6990,-4.4048,-3.696,-0.28798
403.6,2.1398,-2.4642,-15.338,0.022527,0.15521,0.0051349,0.00088381,0.83877,3186,3186,-3.4466,-4.1075,0
293.15,0,0,0,0.022833,0.18346,0.0062831,0.00097176,0.80929,1816,1816,-3.696,-4.4048,0
408.48,2.4726,-2.5835,-16.331,0.020033,0.15261,0.0048614,0.00092811,0.8416,7013,7013,-3.4466,-4.1075,-0.28798
293.15,0,0,0,0.020116,0.18188,0.0060265,0.0010249,0.81107,6992,6992,-3.696,-4.4048,-0.28798
403.6,2.5359,-2.0553,-15.337,0.022527,0.15521,0.0051348,0.00088385,0.83877,3187,3187,-2.681,-4.6436,0
293.15,0,0,0,0.022832,0.18346,0.0062829,0.0009718,0.80929,1815,1815,-2.875,-4.9796,0
408.48,2.8842,-2.115,-16.33,0.020032,0.15261,0.0048613,0.00092814,0.8416,7014,7014,-2.681,-4.6436,-0.28798
293.15,0,0,0,0.020115,0.18188,0.0060264,0.0010249,0.81107,6994,6994,-2.875,-4.9796,-0.28798
403.6,2.8541,-1.5834,-15.336,0.022526,0.15521,0.0051346,0.00088389,0.83877,3188,3188,-1.8339,-5.0386,0
293.15,0,0,0,0.022832,0.18346,0.0062827,0.00097185,0.80929,1814,1814,-1.9666,-5.4032,0
408.48,3.2075,-1.5819,-16.329,0.020032,0.15261,0.0048611,0.00092817,0.8416,7015,7015,-1.8339,-5.0386,-0.28798
293.15,0,0,0,0.020115,0.18188,0.0060262,0.001025,0.81106,6996,6996,-1.9666,-5.4032,-0.28798
403.61,3.0849,-1.0635,-15.335,0.022526,0.15521,0.0051345,0.00088392,0.83877,3189,3189,-0.9311,-5.2805,0
293.15,0,0,0,0.022831,0.18346,0.0062826,0.00097189,0.80929,1813,1813,-0.99848,-5.6626,0
408.49,3.4328,-1.0007,-16.328,0.020031,0.15261,0.0048609,0.00092821,0.8416,7016,7016,-0.9311,-5.2805,-0.28798
293.15,0,0,0,0.020114,0.18188,0.006026,0.001025,0.81107,6998,6998,-0.99848,-5.6626,-0.28798
403.61,3.2215,-0.5116,-15.335,0.022525,0.15521,0.0051343,0.00088394,0.83877,171,171,0,-5.362,0
293.15,0,0,0,0.022831,0.18346,0.0062824,0.00097191,0.80929,129,129,0,-5.75,0
408.49,3.5534,-0.38938,-16.328,0.020031,0.15261,0.0048608,0.00092823,0.8416,6579,6579,0,-5.362,-0.28798
293.15,0,0,0,0.020114,0.18188,0.0060259,0.001025,0.81107,6557,6557,0,-5.75,-0.28798
507.45,-6.3198,1.5722,-20.095,0.022323,0.13493,0.0041062,0.00085663,0.86011,705,705,0,4.974,0
507.45,-6.495,0.45129,-20.095,0.022323,0.13493,0.0041061,0.00085663,0.86011,3190,3190,-0.86373,4.8984,0
516.97,-6.9571,0.99877,-21.061,0.019978,0.13169,0.0038182,0.00089565,0.8636,6691,6691,0,4.974,-0.28798
516.97,-7.0234,-0.22421,-21.062,0.019978,0.13169,0.0038182,0.00089565,0.8636,7017,7017,-0.86373,4.8984,-0.28798
507.45,5.9525,-2.6462,-20.095,0.022323,0.13493,0.0041063,0.00085662,0.86011,3191,3191,-0.86373,-4.8984,0
507.45,6.3198,-1.5722,-20.095,0.022323,0.13493,0.0041062,0.00085663,0.86011,172,172,0,-4.974,0
516.97,6.6793,-2.192,-21.062,0.019978,0.13169,0.0038183,0.00089563,0.86359,7018,7018,-0.86373,-4.8984,-0.28798
516.97,6.9571,-0.99877,-21.061,0.019978,0.13169,0.0038182,0.00089565,0.8636,6578,6578,0,-4.974,-0.28798
615.79,-9.6589,2.4673,-18.7,0.022408,0.11813,0.0030761,0.00087365,0.87792,704,704,0,4.586,0
615.79,-9.9388,0.753,-18.7,0.022409,0.11813,0.003076,0.00087365,0.87792,3192,3192,-0.79635,4.5163,0
631.25,-10.602,1.4294,-19.292,0.019956,0.11444,0.0027825,0.00090866,0.88187,6692,6692,0,4.586,-0.28798
631.25,-10.688,-0.43304,-19.292,0.019956,0.11444,0.0027825,0.00090866,0.88187,7019,7019,-0.79635,4.5163,-0.28798
615.79,9.0854,-4.1076,-18.7,0.022409,0.11813,0.0030761,0.00087363,0.87792,3193,3193,-0.79635,-4.5163,0
615.79,9.6589,-2.4673,-18.7,0.022408,0.11813,0.0030761,0.00087365,0.87792,173,173,0,-4.586,0
631.25,10.194,-3.249,-19.292,0.019956,0.11444,0.0027826,0.00090865,0.88187,7020,7020,-0.79635,-4.5163,-0.28798
631.25,10.602,-1.4294,-19.292,0.019956,0.11444,0.0027825,0.00090866,0.88187,6577,6577,0,-4.586,-0.28798
737.41,-13.566,2.7555,-12.687,0.022752,0.10328,0.0020302,0.00092649,0.89377,703,703,0,4.198,0
737.4,-13.837,0.35828,-12.688,0.022752,0.10328,0.0020302,0.00092648,0.89377,3194,3194,-0.72898,4.1342,0
763.09,-14.909,1.0933,-12.353,0.019929,0.09917,0.0017247,0.00096205,0.89814,6693,6693,0,4.198,-0.28798
763.09,-14.872,-1.5121,-12.353,0.019929,0.099169,0.0017247,0.00096204,0.89814,7021,7021,-0.72898,4.1342,-0.28798
737.4,12.883,-5.0699,-12.688,0.022752,0.10328,0.0020303,0.00092648,0.89377,3195,3195,-0.72898,-4.1342,0
737.41,13.566,-2.7555,-12.687,0.022752,0.10328,0.0020302,0.00092649,0.89377,174,174,0,-4.198,0
763.09,14.494,-3.6659,-12.353,0.019929,0.09917,0.0017248,0.00096204,0.89814,7022,7022,-0.72898,-4.1342,-0.28798
